signature_id,time_window,gene,omitted_dataset,cohort_n,pooled_contribution,ci95_lower,ci95_upper,tau2,I2_percent
SIG022,T2,CTSB,GSE54514,4,0.05603269713557965,-0.01595960129463156,0.12802499556579086,0.001627967335871992,78.92165324570706
SIG022,T2,CTSB,GSE110487,4,0.03363032950718835,-0.03670422466919207,0.10396488368356877,0.0012973043922182227,66.46461309606264
SIG022,T2,CTSB,GSE8121,4,0.06197611329271851,0.0027203504913033624,0.12123187609413366,0.0008317367533067875,59.208885146142165
SIG023,T2,FAM89A,GSE57065,4,-0.1368343654722848,-0.3457842802602183,0.07211554931564867,0.01307372181126744,75.54963094384952
SIG023,T2,FAM89A,GSE95233,4,-0.11047266247251583,-0.3148045084676641,0.09385918352263245,0.012143520714549388,74.80262267921482
SIG023,T2,FAM89A,GSE54514,4,-0.10188046870155942,-0.28555886957883325,0.0817979321757144,0.009589879986833957,72.52425034227066
SIG023,T2,FAM89A,GSE110487,4,-0.09982639218830487,-0.2920575550132506,0.09240477063664086,0.009830870110079578,68.72185125313484
SIG023,T2,FAM89A,GSE8121,4,-0.15996000688891543,-0.2731630666423023,-0.04675694713552858,0.0020624619907694975,29.034446534774926
SIG023,T2,IFI44L,GSE57065,4,0.006510870262704494,-0.09212326482324047,0.10514500534864947,0.0,0.0
SIG023,T2,IFI44L,GSE95233,4,0.039016666630096807,-0.1688265679647875,0.24685990122498114,0.0031437585978122146,21.826878383326232
