dataset,time_window,time_label,pathway,tier,paired_n,mean_delta_z,median_delta_z,se_delta_z,bootstrap_ci_low,bootstrap_ci_high,proportion_increasing,mean_ssgsea_delta_z,se_ssgsea_delta_z,p_value,fdr_within_dataset_window_tier
GSE95233,T2,T48,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_SECONDARY,31,-0.15717036993983735,-0.33105886692612285,0.26730864440226126,-0.6606761699389143,0.4097287085423436,0.3548387096774194,-0.19765584125061614,0.22794992524117566,0.5565501537516593,0.651958751537658
GSE95233,T2,T48,HALLMARK_PROTEIN_SECRETION,HALLMARK_SECONDARY,31,-0.5405362053158912,-0.759962294720535,0.27983170077324276,-1.0801751269605395,0.008527522141630967,0.2903225806451613,-0.5192277727220121,0.27725357370522613,0.05340302875946455,0.12275498205145532
GSE95233,T2,T48,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SECONDARY,31,-1.2317622377928725,-1.4592773122770555,0.2552714829796954,-1.7188954963435235,-0.7717530462835657,0.1935483870967742,-1.1844292255168358,0.25692189788227965,1.397906209139214e-06,5.731415457470778e-05
GSE95233,T2,T48,HALLMARK_SPERMATOGENESIS,HALLMARK_SECONDARY,31,-0.18217941067645244,-0.12459063596984028,0.16862313059102124,-0.5185594584116303,0.11786189729199739,0.45161290322580644,-0.25159215055079925,0.1690383822945924,0.27996678733729174,0.40995136717246294
GSE95233,T2,T48,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_SECONDARY,31,-0.23934987885565098,-0.17176249020951817,0.23429411219215338,-0.6944142894337235,0.22550397909129402,0.45161290322580644,-0.26657984479206337,0.21616178988346849,0.30698033443014816,0.4340066797115888
GSE95233,T2,T48,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,31,-0.2562181942387038,-0.22242111196940972,0.22712350322294814,-0.705828597192938,0.16344129380758854,0.3548387096774194,-0.1792811479191417,0.21486850451051745,0.2592773726191079,0.3889160589286618
GSE95233,T2,T48,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_SECONDARY,31,0.010237509331435277,0.11207652195763478,0.21812284031427737,-0.414196035154568,0.410757579171237,0.5483870967741935,-0.043057285233912605,0.21891024885146804,0.9625653477464439,0.9625653477464439
GSE95233,T2,T48,HALLMARK_UV_RESPONSE_DN,HALLMARK_SECONDARY,31,-0.3761020497702045,-0.38392681363308884,0.18055386713047927,-0.7417173357383959,-0.03080389284120028,0.3225806451612903,-0.4594132742944148,0.18178748738776188,0.037247011089164964,0.10180849697705091
GSE95233,T2,T48,HALLMARK_UV_RESPONSE_UP,HALLMARK_SECONDARY,31,-0.660749800289875,-0.41485765749328657,0.2513178080812061,-1.1807209410408896,-0.2082423822552497,0.2903225806451613,-0.570270700555172,0.24175621934302782,0.008560101360832208,0.03899601731045784
GSE95233,T2,T48,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_SECONDARY,31,0.6407898348066496,1.0651004496977552,0.24791726911003423,0.15872672208794952,1.0951898895650385,0.6774193548387096,0.8194077358454966,0.2323592542977404,0.009746596093012731,0.039961043981352196
GSE95233,T2,T48,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,31,-0.33654488166620994,-0.06115077760235233,0.22980484277781166,-0.8017316795452708,0.08894395551660324,0.45161290322580644,-0.37136063363837896,0.2051826290388451,0.14306250453126615,0.244398445240913
GSE95233,T2,T48,Neutrophil degranulation,REACTOME_SUPPLEMENT,31,-0.4288509045714959,-0.633786748045923,0.22598710079583137,-0.8708391753875756,0.017382071461121806,0.3225806451612903,-0.49913114899337113,0.23499315345670824,0.057738421902700426,0.09840691753957556
GSE95233,T2,T48,TCR signaling,REACTOME_SUPPLEMENT,31,0.3317937368086266,0.26271679654594843,0.20076753745149256,-0.055722597788516626,0.7489068541453614,0.6451612903225806,0.35656488496504746,0.2111344160528997,0.09840691753957556,0.09840691753957556
