dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE54514,SIG002,T4,14,-0.2715841690750945,0.05333160018254168,-1.2205985794264291,0.723003514995304,0.3243519057393424,-0.9395619267176071,0.3560390304778292,-0.34544372525,0.5714285714285714,-0.5986660138068032,-0.2653235549051958,0.17231284988752482,-0.2715841690750978,0.2904160801335433,CONVERGED,PILOT
GSE54514,SIG003,T1,31,-0.4285675132032493,-0.207720889932319,-1.1267646618760698,0.28531316714487504,0.19081492354586604,-0.8011566866475534,-0.06326726495449053,-0.05815327593301885,0.3548387096774194,0.2693364232333504,-0.418135427221207,0.07923562364453535,-0.42856751320325076,0.19033228360802976,CONVERGED,PILOT
GSE54514,SIG003,T2,28,-0.2660416779614452,-0.23414938389814904,-1.2758131358016807,0.4857096798556736,0.2278278618797225,-0.7042553849919353,0.16907881170071906,-0.03609978505495821,0.42857142857142855,-0.11317676244018275,-0.2577400314054137,0.08164514661443645,-0.2660416779614455,0.2200045332823723,CONVERGED,PILOT
GSE54514,SIG003,T3,18,-0.13324538099638483,-0.10866290090002756,-1.5378495532021286,0.7696028062827502,0.3648225399629236,-0.8119154307637291,0.6036811086441278,-0.018080361131358486,0.4444444444444444,-0.00620963085983015,-0.14325267558698881,0.17671283565231932,-0.13324538099638364,0.3672642324029548,CONVERGED,PILOT
GSE54514,SIG003,T4,14,-0.2535405595270996,-0.04529929779457979,-1.101698387877986,0.6582781308286786,0.4011343694789256,-1.0023830286574409,0.5789167431212446,-0.034403480581597264,0.5,-0.41960798766760593,-0.2866897314526252,0.2601581966495858,-0.25354055952709803,0.3509980680582124,CONVERGED,PILOT
GSE54514,SIG004,T1,31,0.2647687367363289,0.09320854941791254,-0.46433135355487604,1.0467360688727503,0.2094285262527482,-0.14416666111889967,0.6791518136366155,0.014830234997303363,0.6129032258064516,0.12237401525454429,0.2691198600707545,0.083284996182927,0.26476873673632895,0.21776011866352601,CONVERGED,PILOT
GSE54514,SIG004,T2,28,0.34145689973471854,-0.18051273840629234,-0.6161647853651548,1.40465460049003,0.23789220205037645,-0.10058849327335738,0.8062615629550517,0.0191256948495374,0.4642857142857143,0.11016878858712607,0.3327271735052664,0.08685080913814502,0.3414568997347195,0.24017514034075652,CONVERGED,PILOT
GSE54514,SIG004,T3,18,0.06135947162628715,-0.017100436201772904,-0.5386320648328481,1.1123345537650229,0.2948066027203418,-0.5217489022675073,0.6169033523711054,0.003436868698113741,0.5,0.03864711485433974,0.05743998521788196,0.12447165301773422,0.0613594716262872,0.3009497328241525,CONVERGED,PILOT
GSE54514,SIG004,T4,14,0.5811404654642642,0.5509144515223767,-0.44627214272651594,1.8756874357922724,0.3524265075221366,-0.14734042812707024,1.215878863144334,0.03255085844164458,0.6428571428571429,-0.23366965041237847,0.5876588702158337,0.1834144031848881,0.5811404654642645,0.33362924464061455,CONVERGED,PILOT
GSE54514,SIG022,T1,31,0.16584064246499516,-0.1539692329713907,-0.3323037051845943,1.074234565713247,0.16691919652917972,-0.17002438799462546,0.49763148215370906,0.16833784429107398,0.45161290322580644,0.514761166879858,0.16371813856455383,0.06152653392461824,0.1658406424649953,0.16731640346615098,CONVERGED,PILOT
GSE54514,SIG022,T2,28,0.014099384684185295,0.05668876712086701,-0.6371688381313697,0.7088131025965619,0.1819635544546278,-0.3276000360706914,0.36693670735871986,0.014311690959996832,0.5714285714285714,0.4587672348799071,0.01276188288363599,0.06745925886992768,0.014099384684185833,0.18429877410156442,CONVERGED,PILOT
