signature_id,time_window,analysis_set,omitted_dataset,cohort_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent
SIG001,T2,STRICT_NEVER_USED,GSE110487,2,-0.6660655112391857,-5.639995679569534,4.307864657091162,0.2805645154182121,91.47605783307353
SIG001,T2,STRICT_NEVER_USED,GSE8121,2,-1.224010096120795,-2.7004487598375917,0.2524285675960021,0.003142936537497264,10.700780696230755
SIG001,T2,STRICT_NEVER_USED,GSE95233,2,-0.797920915942407,-7.313515506092537,5.717673674207724,0.5080983207786832,96.61428323650742
SIG002,T1,ALL_COHORTS,GSE236713,3,-0.1564975020280154,-0.1849172084374927,-0.1280777956185381,0.0,0.0
SIG002,T1,ALL_COHORTS,GSE54514,3,-0.07087568570629159,-0.18124774980080943,0.03949637838822624,0.0,0.0
SIG002,T1,ALL_COHORTS,GSE57065,3,-0.070758221197521,-0.18081612213710363,0.03929967974206164,0.0,0.0
SIG002,T1,ALL_COHORTS,GSE95233,3,-0.0721533187652119,-0.18011355437996762,0.035806916849543804,0.0,0.0
SIG002,T1,PRIMARY_INDEPENDENT,GSE236713,2,-0.1596683421179304,-0.29496461485609776,-0.02437206937976305,0.0,0.0
SIG002,T1,PRIMARY_INDEPENDENT,GSE57065,2,-0.06320587402043759,-0.41495348555414935,0.28854173751327417,0.0,0.0
SIG002,T1,PRIMARY_INDEPENDENT,GSE95233,2,-0.06498831735054597,-0.4141452930871392,0.2841686583860473,0.0,0.0
SIG002,T1,STRICT_NEVER_USED,GSE236713,2,-0.1596683421179304,-0.29496461485609776,-0.02437206937976305,0.0,0.0
SIG002,T1,STRICT_NEVER_USED,GSE57065,2,-0.06320587402043759,-0.41495348555414935,0.28854173751327417,0.0,0.0
SIG002,T1,STRICT_NEVER_USED,GSE95233,2,-0.06498831735054597,-0.4141452930871392,0.2841686583860473,0.0,0.0
SIG002,T2,ALL_COHORTS,GSE110487,4,-0.5879288665569129,-1.1342910097584373,-0.04156672335538836,0.06965672383199487,61.70621456658056
SIG002,T2,ALL_COHORTS,GSE54514,4,-0.6885895701194436,-0.9056198950760734,-0.47155924516281367,0.0,0.0
SIG002,T2,ALL_COHORTS,GSE57065,4,-0.554111126888934,-1.0515628508134516,-0.05665940296441646,0.050323684997975085,56.96286578773652
SIG002,T2,ALL_COHORTS,GSE8121,4,-0.6006939796379877,-1.1500747777761056,-0.05131318149986974,0.07064180924713563,61.63541241947639
SIG002,T2,ALL_COHORTS,GSE95233,4,-0.5354728701103245,-0.9798416686412028,-0.09110407157944628,0.03036803943551666,47.79306413409821
SIG002,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE110487,2,-0.6992247620122635,-2.568279711082509,1.1698301870579821,0.010505794916045988,23.38053191303443
SIG002,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE8121,2,-0.725202990004942,-2.3098671469096455,0.8594611668997613,0.0,0.0
SIG002,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE95233,2,-0.5995262200120572,-0.8863818373614245,-0.31267060266269003,0.0,0.0
SIG002,T2,PRIMARY_INDEPENDENT,GSE110487,3,-0.7155334585703678,-1.1148964979271476,-0.31617041921358796,0.0,0.0
SIG002,T2,PRIMARY_INDEPENDENT,GSE57065,3,-0.6663081670834609,-1.032901110847988,-0.29971522331893374,0.0,0.0
SIG002,T2,PRIMARY_INDEPENDENT,GSE8121,3,-0.741876702364798,-1.0745651430588024,-0.4091882616707936,0.0,0.0
SIG002,T2,PRIMARY_INDEPENDENT,GSE95233,3,-0.6427442880674593,-0.8889643233790688,-0.3965242527558498,0.0,0.0
